title	year	director	cast	genre	notes
The Power	1968	Byron Haskin	"Suzanne Pleshette, George Hamilton"	Thriller	based on Frank M. Robinson novel
Pretty Poison	1968	Noel Black	"Tuesday Weld, Anthony Perkins, Beverly Garland"	Suspense	remade in 1996
The Private Navy of Sgt. O'Farrell	1968	Frank Tashlin	"Bob Hope, Jeffrey Hunter, Phyllis Diller"	War comedy	filmed in Puerto Rico
The Producers	1968	Mel Brooks	"Zero Mostel, Gene Wilder, Kenneth Mars, Dick Shawn, Lee Meredith, Christopher Hewett"	Comedy	inspired musical and 2005 film
Psych-Out	1968	Richard Rush	"Jack Nicholson, Susan Strasberg"	Crime drama	American International
"Rachel, Rachel"	1968	Paul Newman	"Joanne Woodward, James Olson"	Drama	4 Oscar nominations
Rosemary's Baby	1968	Roman Polanski	"Mia Farrow, John Cassavetes, Charles Grodin, Ruth Gordon, Ralph Bellamy"	Horror	based on the novel by Ira Levin; Oscar for Gordon
The Scalphunters	1968	Sydney Pollack	"Burt Lancaster, Ossie Davis, Telly Savalas"	Western	United Artists
The Sea Gull	1968	Sidney Lumet	"Vanessa Redgrave, Simone Signoret, James Mason"	Drama	Warner Bros.; from Anton Chekhov play
The Secret Life of an American Wife	1968	George Axelrod	"Walter Matthau, Anne Jackson, Patrick O'Neal"	Comedy	20th Century Fox; music by Billy May
The Secret War of Harry Frigg	1968	Jack Smight	Paul Newman	War Comedy	Universal
The Sergeant	1968	John Flynn	"Rod Steiger, John Phillip Law"	Drama	Warner Bros.
Sergeant Ryker	1968	Buzz Kulik	"Lee Marvin, Bradford Dillman, Vera Miles"	Drama	made in 1963
The Shakiest Gun in the West	1968	Alan Rafkin	"Don Knotts, Pat Morita, Jackie Coogan"	Comedy	Universal
Shalako	1968	Edward Dmytryk	"Sean Connery, Brigitte Bardot"	Western	Cinerama Corp.
She-Devils on Wheels	1968	Herschell Lewis	Betty Connell	Biker film	
The Shoes of the Fisherman	1968	Michael Anderson	"Anthony Quinn, Laurence Olivier, David Janssen, Oskar Werner, Leo McKern, John Gielgud"	Drama	from Morris West novel; 2 Oscar nominations
Single Room Furnished	1968	Matt Cimber	Jayne Mansfield	Drama	
Skidoo	1968	Otto Preminger	"Jackie Gleason, Carol Channing, Mickey Rooney, John Phillip Law, Groucho Marx"	Comedy	Marx's final film
Sol Madrid	1968	Brian G. Hutton	"David McCallum, Stella Stevens, Telly Savalas"	Crime	
Speedway	1968	Norman Taurog	"Elvis Presley, Nancy Sinatra"	Musical	MGM
The Split	1968	Gordon Flemyng	"Jim Brown, Diahann Carroll, Gene Hackman"	Crime drama	MGM; story by Donald E. Westlake
The Stalking Moon	1968	Robert Mulligan	"Gregory Peck, Eva Marie Saint"	Western	National General; from Theodore Olsen novel
Star!	1968	Robert Wise	"Julie Andrews, Daniel Massey, Richard Crenna"	Biography	Gertrude Lawrence bio; 7 Oscar nominations
"Stay Away, Joe"	1968	Peter Tewksbury	"Elvis Presley, Burgess Meredith, Katy Jurado"	Western	MGM; based on Dan Cushman novel
The Subject Was Roses	1968	Ulu Grosbard	"Patricia Neal, Jack Albertson, Martin Sheen"	Drama	from Frank Gilroy play; Oscar for Albertson
